order_id,seller_id,order_amount,commission_rate,commission_amount,refund_amount,net_payable,order_date
ORD-00001,SLR-01,4985.08,0.1800,897.31,362.03,3725.74,2026-08-10
ORD-00002,SLR-01,705.17,0.0500,35.26,0.00,669.91,2026-08-09
ORD-00003,SLR-01,1527.88,0.1000,152.79,0.00,1375.09,2026-08-05
ORD-00004,SLR-01,1167.43,0.1800,210.14,0.00,957.29,2026-08-11
ORD-00005,SLR-01,2749.79,0.1200,329.97,0.00,2419.82,2026-08-09
ORD-00006,SLR-01,583.90,0.1800,105.10,0.00,478.80,2026-08-02
ORD-00007,SLR-01,331.14,0.0500,16.56,0.00,314.58,2026-08-11
ORD-00008,SLR-01,3440.30,0.1000,344.03,0.00,3096.27,2026-08-05
ORD-00009,SLR-01,2992.39,0.1800,538.63,0.00,2453.76,2026-08-15
ORD-00010,SLR-01,686.54,0.0500,34.33,0.00,652.21,2026-08-01
ORD-00011,SLR-01,2960.46,0.0500,148.02,0.00,2812.44,2026-08-05
ORD-00012,SLR-01,2353.32,0.0800,188.27,487.95,1677.10,2026-08-05
ORD-00013,SLR-01,4812.95,0.1000,481.30,0.00,4331.65,2026-08-02
ORD-00014,SLR-01,3596.65,0.0500,179.83,0.00,3416.82,2026-08-08
ORD-00015,SLR-01,3354.05,0.1800,603.73,0.00,2750.32,2026-08-14
ORD-00016,SLR-01,4633.02,0.0800,370.64,0.00,4262.38,2026-08-08
ORD-00017,SLR-01,4721.15,0.1200,566.54,880.80,3273.81,2026-08-06
ORD-00018,SLR-01,4306.02,0.1800,775.08,0.00,3530.94,2026-08-14
ORD-00019,SLR-01,1498.83,0.0800,119.91,0.00,1378.92,2026-08-08
ORD-00020,SLR-01,2105.62,0.2000,421.12,626.94,1057.56,2026-08-04
ORD-00021,SLR-01,1146.33,0.2000,229.27,0.00,917.06,2026-08-08
ORD-00022,SLR-01,1700.07,0.2000,340.01,0.00,1360.06,2026-08-12
ORD-00023,SLR-01,1268.76,0.0500,63.44,0.00,1205.32,2026-08-08
ORD-00024,SLR-01,1821.03,0.1000,182.10,0.00,1638.93,2026-08-13
ORD-00025,SLR-01,1941.01,0.1800,349.38,0.00,1591.63,2026-08-09
ORD-00026,SLR-01,244.70,0.0500,12.24,0.00,232.46,2026-08-11
ORD-00027,SLR-01,1036.20,0.1500,155.43,0.00,880.77,2026-08-09
ORD-00028,SLR-02,4219.63,0.1500,632.94,0.00,3586.69,2026-08-14
ORD-00029,SLR-02,2537.87,0.1200,304.54,0.00,2233.33,2026-08-11
ORD-00030,SLR-02,2780.02,0.1200,333.60,0.00,2446.42,2026-08-07
ORD-00031,SLR-02,3554.27,0.0500,177.71,0.00,3376.56,2026-08-06
ORD-00032,SLR-02,589.61,0.2000,117.92,0.00,471.69,2026-08-11
ORD-00033,SLR-02,3627.38,0.1000,362.74,0.00,3264.64,2026-08-08
ORD-00034,SLR-02,872.55,0.0500,43.63,165.69,663.23,2026-08-07
ORD-00035,SLR-02,2487.69,0.1200,298.52,0.00,2189.17,2026-08-03
ORD-00036,SLR-02,3866.20,0.1800,695.92,0.00,3170.28,2026-08-07
ORD-00037,SLR-02,1379.18,0.0800,110.33,0.00,1268.85,2026-08-13
ORD-00038,SLR-02,4780.10,0.2000,956.02,0.00,3824.08,2026-08-01
ORD-00039,SLR-02,4181.16,0.1200,501.74,0.00,3679.42,2026-08-04
ORD-00040,SLR-02,363.28,0.1500,54.49,0.00,308.79,2026-08-15
