payout_id,seller_id,payout_amount,payout_date,utr
PYT-00001,SLR-01,6837.75,2026-08-06,UTR767594228337
PYT-00002,SLR-01,14276.44,2026-08-08,UTR148338665100
PYT-00003,SLR-01,10853.41,2026-08-09,UTR574010721878
PYT-00004,SLR-01,314.58,2026-08-10,UTR655340655504
PYT-00005,SLR-01,6198.14,2026-08-11,UTR866232475190
PYT-00006,SLR-01,3231.45,2026-08-13,UTR831950243582
PYT-00007,SLR-01,6281.26,2026-08-14,UTR725413874351
PYT-00008,SLR-01,2453.76,2026-08-15,UTR414837745591
PYT-00009,SLR-02,11986.39,2026-08-04,UTR803686852877
PYT-00010,SLR-02,6471.42,2026-08-08,UTR582215724207
PYT-00011,SLR-02,3154.16,2026-08-07,UTR449334805176
PYT-00012,SLR-02,10811.03,2026-08-13,UTR521900055512
PYT-00013,SLR-02,3564.70,2026-08-14,UTR462527878842
PYT-00014,SLR-02,308.79,2026-08-15,UTR563138741006
PYT-00015,SLR-03,13063.41,2026-08-05,UTR827689342568
PYT-00016,SLR-03,8687.82,2026-08-08,UTR218069517293
PYT-00017,SLR-03,1002.11,2026-08-13,UTR295143931370
PYT-00018,SLR-03,10332.39,2026-08-14,UTR987408586371
PYT-00019,SLR-03,5244.89,2026-08-17,UTR906705387446
PYT-00020,SLR-03,221.91,2026-08-16,UTR405314892324
PYT-00021,SLR-04,3524.54,2026-08-03,UTR710394101616
PYT-00022,SLR-04,6737.97,2026-08-08,UTR674562228753
PYT-00023,SLR-04,7790.27,2026-08-10,UTR436849259207
PYT-00024,SLR-04,9503.23,2026-08-11,UTR941588491630
PYT-00025,SLR-04,3364.99,2026-08-14,UTR188735863186
PYT-00026,SLR-04,5267.42,2026-08-16,UTR100672302490
PYT-00027,SLR-04,2958.63,2026-08-17,UTR135610687504
PYT-00028,SLR-04,2296.66,2026-08-17,UTR179259461026
PYT-00029,SLR-05,4281.99,2026-08-04,UTR666355478456
PYT-00030,SLR-05,2307.78,2026-08-04,UTR157609459666
PYT-00031,SLR-05,6588.92,2026-08-08,UTR588017414546
PYT-00032,SLR-05,3384.38,2026-08-09,UTR417516936790
PYT-00033,SLR-05,10883.15,2026-08-12,UTR795669368396
PYT-00034,SLR-05,16460.98,2026-08-16,UTR115250737438
PYT-00035,SLR-06,16952.65,2026-08-05,UTR456679815270
PYT-00036,SLR-06,4398.48,2026-08-06,UTR260763575623
PYT-00037,SLR-06,2995.32,2026-08-05,UTR289708635239
PYT-00038,SLR-06,2726.12,2026-08-09,UTR849985945258
PYT-00039,SLR-06,6609.90,2026-08-08,UTR607803382689
